"Path","Tracked","WorktreeExists","SizeBytes","TopLevel","Extension","Classification","WorkflowRelation","RuntimeProtection","ReferenceAuditStatus","GitHistoryStatus","Notes"
".g002narrow/old/test/photo_upload_screen_avatar_flow_test.dart","True","True","32941",".g002narrow",".dart","TEST","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".g003_pytest_tmp/test_cli_outputs_sanitized_cou0/fixture.json","True","True","195",".g003_pytest_tmp",".json","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".g003_pytest_tmp/test_cli_outputs_sanitized_coucurrent","True","True","94",".g003_pytest_tmp","","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".g003_pytest_tmp/test_client_debug_print_raw_pr0/root/lib/features/privacy/unsafe_logs.dart","True","True","390",".g003_pytest_tmp",".dart","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".g003_pytest_tmp/test_client_debug_print_raw_prcurrent","True","True","94",".g003_pytest_tmp","","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".g003_pytest_tmp/test_client_debug_print_safe_p0/root/lib/features/privacy/safe_logs.dart","True","True","678",".g003_pytest_tmp",".dart","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".g003_pytest_tmp/test_client_debug_print_safe_pcurrent","True","True","94",".g003_pytest_tmp","","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".g003_pytest_tmp/test_scans_root_festival_and_b0/festival_web/src/leaky.ts","True","True","103",".g003_pytest_tmp",".ts","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".g003_pytest_tmp/test_scans_root_festival_and_b0/root/build/web/main.dart.js","True","True","39",".g003_pytest_tmp",".js","GENERATED_OR_ARTIFACT","not-in-workflow-export","owner-and-consumer-audit-required","artifact classification only; not deletion proof","history-present",""
".g003_pytest_tmp/test_scans_root_festival_and_b0/root/docs/safe.md","True","True","83",".g003_pytest_tmp",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".g003_pytest_tmp/test_scans_root_festival_and_b0/root/functions/src/safe.ts","True","True","49",".g003_pytest_tmp",".ts","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".g003_pytest_tmp/test_scans_root_festival_and_b0/root/lib/features/profile/safe.dart","True","True","21",".g003_pytest_tmp",".dart","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".g003_pytest_tmp/test_scans_root_festival_and_bcurrent","True","True","94",".g003_pytest_tmp","","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".gcloudignore","True","True","247",".gcloudignore",".gcloudignore","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".github/workflows/ci.yml","True","True","3626",".github",".yml","OPERATIONAL_OR_PIPELINE","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".gitignore","True","True","1125",".gitignore",".gitignore","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".gitleaks.toml","True","True","858",".gitleaks.toml",".toml","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".kiro/hooks/shell-gate.json","True","True","1229",".kiro",".json","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".kiro/steering/shell-commands.md","True","True","10642",".kiro",".md","DOCUMENTATION","not-in-workflow-export","review-required","not-proven-dead","history-present",""
".metadata","True","True","964",".metadata",".metadata","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".run/Flutter_Chrome_57575.run.xml","True","True","399",".run",".xml","UNCERTAIN_OR_SEPARATE_PROJECT","not-in-workflow-export","separate-project-or-owner-review-required","not-proven-dead","history-present","Uncertain ownership or prototype/subproject path; preserve."
".tmp/.dart-tool/CLIENT_ID","True","True","36",".tmp","","GENERATED_OR_ARTIFACT","not-in-workflow-export","owner-and-consumer-audit-required","artifact classification only; not deletion proof","history-present","Operational/test/report artifact area; denied or dynamic consumers are possible."
".tmp/.dart-tool/dart-flutter-telemetry.config","True","True","1112",".tmp",".config","GENERATED_OR_ARTIFACT","not-in-workflow-export","owner-and-consumer-audit-required","artifact classification only; not deletion proof","history-present","Operational/test/report artifact area; denied or dynamic consumers are possible."
